family,genus,species,authority,sp4,sp6,lifeform
Anacardiaceae,(anacardiaceae),sp.1,NA,NA,ANA1,NA
Annonaceae,(annonaceae),sp.1,NA,NA,ANN1,NA
Annonaceae,(annonaceae),sp.2,NA,NA,ANN2,NA
Bignoniaceae,(Bignoniaceae),clitoria,NA,NA,BIG2,LIANA
Bignoniaceae,(Bignoniaceae),sp.1,NA,NA,BIG1,LIANA
Celastraceae,(celastraceae),sp.1,NA,NA,CEL1,NA
Cucurbitaceae,(Cucurbitaceae),sp.1,NA,NA,CUC1,LIANA
Euphorbiaceae,(euphorbiaceae),sp.2,NA,NA,EUP2,NA
Lauraceae,(lauraceae),pubescente,,,LAU12,NA
Lauraceae,(lauraceae),sp.11,NA,NA,LAU11,NA
Lauraceae,(lauraceae),sp.4,NA,NA,LAU4,NA
Lauraceae,(lauraceae),sp.5,NA,NA,LAU5,NA
Lauraceae,(lauraceae),sp.8,NA,NA,LAU8,NA
Malpighiaceae,(Malpighiaceae),sp. 1,NA,NA,MAL1,LIANA
Melastomataceae,(melastomataceae),sp.4,NA,NA,MEL4,NA
Melastomataceae,(melastomataceae),sp.5,NA,NA,MEL5,NA
Myrtaceae,(myrtaceae),sp.11,NA,NA,MYT11,NA
Myrtaceae,(myrtaceae),sp.13,NA,NA,MYT13,NA
Myrtaceae,(myrtaceae),sp.15,NA,NA,MYT15,NA
Myrtaceae,(myrtaceae),sp.16,NA,NA,MYT16,NA
Myrtaceae,(myrtaceae),sp.17,NA,NA,MYT17,NA
Myrtaceae,(myrtaceae),sp.18,NA,NA,MYT18,NA
Nyctaginaceae,(nyctaginaceae),sp.2,NA,NA,NYC2,NA
Passifloraceae,(Passifloraceae),sp.1,NA,NA,PAS1,LIANA
Rubiaceae,(rubiaceae),sp.6,NA,NA,RUB6,NA
Rubiaceae,(rubiaceae),sp.7,NA,NA,RUB7,NA
Rubiaceae,(rubiaceae),sp.8,NA,NA,RUB8,NA
Sapindaceae,(Sapindaceae),sp. 1,NA,NA,SAP1,LIANA
Sapindaceae,(Sapindaceae),sp. 3,NA,NA,SAP3,LIANA
Sapotaceae,(sapotaceae),sp.2,NA,NA,SAP2,NA
Sapotaceae,(sapotaceae),sp.4,NA,NA,SAP4,NA
Sapotaceae,(sapotaceae),sp.5,NA,NA,SAP5,NA
Sapotaceae,(sapotaceae),sp.6,NA,NA,SAP6,NA
Fabaceae:Mimos.,Abarema,barbouriana,(Standl.) Barneby & J.W. Grimes,ABAB,PIT1BA,M
Fabaceae:Mimos.,Abarema,macradenia,(Pittier) Barneby & J.W. Grimes,PITM,PIT1MA,T
Menispermaceae,Abuta,panamensis,(Standl.) Krukoff & Barneby,ABUP,ABUTPA,LIANA
Menispermaceae,Abuta,racemosa,(Thunb.) Triana & Planch.,ABUR,ABUTRA,LIANA
Fabaceae:Mimos.,Acacia,collinsii,,,ACACCO,NA
Fabaceae,Acacia,hayesii,NA,NA,ACACAC,LIANA
Fabaceae,Acacia,hayesii,Benth.,ACAH,ACACHA,LIANA
Fabaceae:Mimos.,Acacia,melanoceras,Beurl.,ACA1,ACACME,U
Fabaceae,Acacia,riparia,Kunth,ACAR,ACACRI,VINE
Fabaceae:Mimos.,Acacia,sp.1,NA,NA,ACAC1,NA
Euphorbiaceae,Acalypha,diversifolia,Jacq.,ACAD,ACALDI,S
Euphorbiaceae,Acalypha,macrostachya,Jacq.,ACA2,ACALMA,U
Cactaceae,Acanthocereus,tetragonus,,,ACANTE,NA
Euphorbiaceae,Acidoton,nicaraguensis,,,ACIDNI,S
Melastomataceae,Aciotis,rubricaulis,(Mart. ex DC.) Triana,ACIL,ACIOLE,NA
Fabaceae:Papil.,Acosmium,panamense,,,ACOSPA,M
Arecaceae,Acrocomia,aculeata,(Jacq.) Lodd. ex Mart.,ACRA,ACROPA,U palma
Euphorbiaceae,Adelia,triloba,(Müll. Arg.) Hemsl.,ADET,ADE1TR,U
Melastomataceae,Adelobotrys,adscendens,(Sw.) Triana,ADE1,ADE2AD,LIANA
Melastomataceae,Adelobotrys,panamensis,,,ADELPA,NA
Lythraceae,Adenaria,floribunda,,,ADENFL,NA
Bignoniaceae,Adenocalymma,arthropetiolatum,NA,NA,ADE3AR,LIANA
Bignoniaceae,Adenocalymma,inundatum,Mart. ex DC.,ADE2,ADE3IN,LIANA
Verbenaceae,Aegiphila,anomala,,,AEGIAN,M
Verbenaceae,Aegiphila,cephalophora,Standl.,AEGC,AEGICE,LIANA
Verbenaceae,Aegiphila,elata,Sw.,AEGE,AEGIEL,LIANA
Verbenaceae,Aegiphila,odontophylla,NA,NA,AEGIOD,NA
Verbenaceae,Aegiphila,panamensis,Moldenke,AEGP,AEGIPA,M
Opiliaceae,Agonandra,brasiliensis,NA,NA,AGONBR,NA
Lauraceae,Aiouea,vexatrix,NA,NA,AIOUVE,NA
Arecaceae,Aiphanes,hirsuta,,,AIPHHI,S palma
Fabaceae:Mimos.,Albizia,adinocephala,,,ALBIAD,M
Fabaceae:Mimos.,Albizia,niopoides,,,ALBINI,NA
Fabaceae:Mimos.,Albizia,procera,,,ALBIPR,NA
Euphorbiaceae,Alchornea,costaricensis,Pax & K. Hoffm.,ALCC,ALCHCO,T
Euphorbiaceae,Alchornea,grandis,,,ALCHGR,NA
Euphorbiaceae,Alchornea,latifolia,Sw.,ALCL,ALCHLA,M
Euphorbiaceae,Alchornea,sp.3,NA,NA,ALCH3,NA
Euphorbiaceae,Alchornea,sp.4,NA,NA,ALCH4,NA
Euphorbiaceae,Alchornea,sp.5,NA,NA,ALCH5,NA
